Moisture (14%) ,Foreign Matter (0.5%),Broken (15%),Red & Chalky grains (7%),Damaged Grain (2%),Discolored grain(2%),Mixed ( lower class) (10%) (Other Grain),Final Value,Grade
12,0.3,13.2,5.2,1.8,1.4,9.3,7.908,B
14,0.1,14.8,4.8,1.8,1.8,8.9,9.016,C
13.1,0.4,14.8,4.4,1.3,1.5,8.5,8.556,B
13.3,0.1,14.6,3.6,1.5,1.2,9.3,8.52,B
13.1,0.2,13.3,4.5,1.6,1.6,8.5,8.395,B
13.2,0.2,13.8,4.6,1.4,1.4,9.1,8.482,B
13.1,0.2,12.5,4.8,1.1,1.5,9.1,8.302,B
13,0.3,10.8,4.1,1.6,1.5,9.1,8.083,B
12.9,0.4,14.2,4.2,1.6,1.2,8.1,8.388,B
12,0.2,12.3,4.1,1.5,1.6,9.1,7.711,A
12.5,0.1,12.9,5.1,1.9,1.4,8.9,8.087,B
12,0.4,14.3,5.1,1.5,1.6,9.1,8.021,B
13.1,0.1,13.4,5.1,1.3,1.6,9.6,8.409,B
12.3,0.1,14.2,5.2,1.6,1.6,9.5,8.114,B
12.3,0.2,13.5,5.8,1.7,1.9,9.6,8.124,B
12.4,0.3,13.6,5.2,1.6,2,9.4,8.16,B
12.7,0.2,14.2,5.2,1.6,1.8,9.6,8.342,B
12.4,0.3,12.4,5.6,1.8,1.8,9.1,8.072,B
12.4,0.2,12.8,5.3,1.5,1.4,9.3,8.037,B
12.6,0.3,10.6,5.4,1.3,1.8,9.3,7.948,B
12.5,0.3,12.6,5.6,1.9,1.8,9.1,8.148,B
12.7,0.2,13.7,3.2,1.4,1.5,8.1,8.128,B
13,0.3,13.6,3.1,1.2,1.6,8.1,8.273,B
12.7,0.3,14.6,3.8,1.6,1.5,8.9,8.292,B
13.1,0.2,13.6,3.8,1.2,1.3,9.1,8.34,B
12.3,0.2,13.5,3.8,1,1.3,9.1,7.918,B
12.7,0.3,10.2,3.8,1.2,1.3,8.7,7.82,A
12.9,0.3,11.9,3.1,1.6,1,8.4,8.053,B
